title,location,coordinate
Bánh Mì Sài Gòn - 204 Đội Cấn,"204D Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0350122, 105.8227038"
Homey BBQ - Sườn Nướng BBQ,"56 Hàng Than, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.040687, 105.847499"
Bánh Mì Hương Lan,"6C Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.0221053, 105.8187766"
Marukame Udon - Udon & Tempura - Vincom Metropolis,"Tầng 2 - 13 - 14 -15, Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0314901, 105.8142168"
Gà Tươi - 671 Hoàng Hoa Thám,"671 Hoàng Hoa Thám, P. Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.047345, 105.807784"
Korean Chicken - Gà Rán Truyền Thống Hàn Quốc - 6 Ngõ 14 Huỳnh Thúc Kháng,"6 ngõ 14 Huỳnh Thúc Kháng, P. Thành Công, Quận Ba Đình, Hà Nội","21.0190515, 105.8116468"
Starbucks Coffee - Vincom Metropolis,"Tầng 1, Vincom Metropolis, Liễu Giai, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.03116, 105.813493"
Lotteria - Hàng Than,"Tầng 1, 23 Hàng Than, Quận Ba Đình, Hà Nội","21.041985, 105.847273"
Sushi Hokkaido Sachi - Vincom Metropolis Hà Nội,"Lầu 3 (L3-05) Vincom Center Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.03143586, 105.8147574"
Nhà Hàng Nhật Bản Shiba Sushi - Đào Tấn,"12 Ngõ 9 Đào Tấn, P.Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0325042, 105.8079361"
Ngọc Chung - Cơm & Các Món Xào,"56 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.032987, 105.807862"
Bánh Xèo & Nem Lụi - 140 Đội Cấn,"Ngõ 140 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0348517, 105.8251398"
An Cựu - Bún Bò Huế - Đội Cấn,"151 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0351044, 105.8266281"
Bánh Chuối An Giang,"51 Ngõ 135 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.035932, 105.828069"
Trà Sữa TocoToco - 72 Thành Công,"72 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0234235, 105.8164281"
Cúc Phương - Bò Nướng,"51 Hàng Đậu, Quận Ba Đình, Hà Nội","21.040228, 105.8480084"
Lẩu Béo - Nguyễn Trung Trực,"30 Nguyễn Trung Trực, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.0409084, 105.8477757"
Foodfest - Go Go Chicken Hàng Than - Nowfood x Coca,"65 Hàng Than, Quận Ba Đình, Hà Nội","21.040723, 105.847593"
Chè Gỗ - Trần Phú,"9 Trần Phú, Quận Ba Đình, Hà Nội","21.0301579, 105.8435109"
Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,"12 Hàng Than, Quận Ba Đình, Hà Nội","21.0426495, 105.8471601"
"Bún Bò Nam Bộ, Bún Riêu Cua - Thành Công","108A khu A5 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.021165, 105.8135773"
Quán Kệ - Lẩu Cua Đồng,"271 Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0309637, 105.8206555"
Gà 36 - Đào Tấn,"31A Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0326965, 105.8074057"
Chè Bà Thơm - Quán Thánh,"146 Quán Thánh, Quận Ba Đình, Hà Nội","21.042561, 105.841483"
Tuyết - Bún Chả 34,"34 Hàng Than, Quận Ba Đình, Hà Nội","21.041303, 105.847304"
Phở Cuốn Chinh Thắng,"7 Mạc Đĩnh Chi, Quận Ba Đình, Hà Nội","21.0467494, 105.841012"
Bánh Cuốn Bà Xuân,"16 Dốc Hòe Nhai, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.0421069, 105.8477019"
Pizza 4P's - Pizza Kiểu Nhật - Liễu Giai,"Tầng 1, Lotte Department Store, 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.031839, 105.812847"
Chè Thuỷ - Thành Công,"105B A4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.021023, 105.813525"
Ốc & Ăn Vặt - Thành Công,"104A5 TT. Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.021151, 105.813333"
Bún Bò Huế Nam Minh - Thành Công,"115A4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.021201, 105.813848"
Bánh Mì Tuhu Bread - Thành Công,"111 K7 Thành Công (Đối Diện 10A Thành Công), P. Thành Công, Quận Ba Đình, Hà Nội","21.021604, 105.815699"
Phương Hoa - Bún Thái Hải Sản Tươi Sống & Bún Cá Chấm - Tập Thể Thành Công,"109 B2 Tập Thể Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0214218, 105.8155774"
Le Pasto - Cơm Văn Phòng Online,"41 Ngõ 97 Văn Cao, Quận Ba Đình, Hà Nội","21.03914, 105.816496"
Trà Sữa Gong Cha - 貢茶 - Giảng Võ,"Tầng 1, D2 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0261039, 105.8222383"
Bánh Tráng Trảng Bàng - Láng Hạ,"10 Lô B Ngõ 57 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.018881, 105.817841"
"Gà Vị Mộc - Phở Gà, Bún Thang 100% KHÔNG MÌ CHÍNH","87 Giang Văn Minh, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034159, 105.827059"
Salut Restaurant - Ẩm Thực Nga,"60 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.026572, 105.817899"
"Tiệm Chè MeMe - Chè Bưởi, Cốt Dừa Cafe","19 Ngõ 158/2/49 Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.037658, 105.829004"
Bún Ốc Cô Béo,"2 Hòe Nhai, Quận Ba Đình, Hà Nội","21.041469, 105.846813"
Kem Xôi Chè Thái Lan - Giảng Võ,"289 Kim Mã (117 A5 TT Giảng Võ ), P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030688, 105.8186167"
Cơm Rang Cay,"73 Phạm Hồng Thái, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.044365, 105.842862"
Food Center Lake View - Hotel Hanoi,"Tầng 1, Hanoi Hotel, D8 Giảng Võ, Quận Ba Đình, Hà Nội","21.030089, 105.812985"
Pizza 4P's - Pizza Kiểu Nhật - Phan Kế Bính,"5 Phan Kế Bính, Quận Ba Đình, Hà Nội","21.034123, 105.812743"
Bánh Cốm Nguyên Ninh - Hàng Than,"11 Dốc Hàng Than, Quận Ba Đình, Hà Nội","21.042806, 105.847116"
Phở Lý Quốc Sư,"54 Thành Công , Quận Ba Đình, Hà Nội","21.023198, 105.815973"
Hà Thành Trà,"93 Giang Văn Minh, Quận Ba Đình, Hà Nội","21.0342961, 105.8269991"
Vân Chè - Chè Các Món,"104AC2 Tập Thể Thành Công (Cổng Chợ Thành Công), P. Thành Công, Quận Ba Đình, Hà Nội","21.0228813, 105.8155059"
Bánh Mì - Kim Mã Thượng,"10 Kim Mã Thượng (Đối Diện 19 Kim Mã Thượng), P. Cống Vị, Quận Ba Đình, Hà Nội","21.03593, 105.813641"
Joma Bakery Cafe - Liễu Giai,"38 Liễu Giai, Quận Ba Đình, Hà Nội","21.034734, 105.814192"
Phở Tuấn,"34B C8 Giảng Võ , P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0282556, 105.8226942"
Xôi Thịt Chả Trứng - Quán Thánh,"112 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.042301, 105.843317"
NemZone - Nem Nướng Ngon Lạ,"18 Ngõ 266 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0370553, 105.8139094"
Quán Cũ - Bún Thang Cổ Truyền,"31A Phan Đình Phùng , Quận Ba Đình, Hà Nội","21.0401968, 105.8440856"
Gâteaux De Lapine - Bánh Ngọt Á & Âu - Trần Phú,"95 Trần Phú, P. Kim Mã, Quận Ba Đình, Hà Nội","21.0325671, 105.8301425"
Bánh Mì Nem Khoai & Khoai Lang Lắc - Kim Mã Thượng,"10 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0359238, 105.8134591"
BÀ THÀNH - MENU SÀI GÒN ĂN VẶT & BÁNH TRÁNG TRỘN ĐỘI CẤN,"Số Nhà 33A Nghách 64 Ngõ 279 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.0388261, 105.8206405"
Xôi Hiệp Hòa - Đê La Thành,"415 Đê La Thành, P. Thành Công, Quận Ba Đình, Hà Nội","21.023421, 105.8193348"
Hằng - Bánh Trôi Tàu,"Vỉa Hè 101 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0346636, 105.8290717"
Kem Dừa 18,"18 Ngõ 678 Đê La Thành, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.024272, 105.816673"
Chè Mẹ Nhím - Chè Sầu Đà Nẵng,"115 D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0271658, 105.8221079"
Lotteria - Hồ Tây,"2A Trấn Vũ, Quận Ba Đình, Hà Nội","21.04391, 105.83639"
