,title,url,sf_url,location,updated_at,Chất lượng,Giá cả,ImgURL,Không gian,Latitude,Location,Longitude,Phục vụ,Vị trí
0,Bánh Mì Sài Gòn - 204 Đội Cấn,https://www.foody.vn/ha-noi/banh-mi-sai-gon-204-doi-can,https://shopeefood.vn/ha-noi/banh-mi-sai-gon-204-doi-can,"204D Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g116/1159518/prof/s/foody-upload-api-foody-mobile-im-fedd54cc-231202184720.jpeg,9.9,21.0350122,"204D Đội Cấn, P. Đội Cấn",105.8227038,9.9,9.6
1,Homey BBQ - Sườn Nướng BBQ,https://www.foody.vn/ha-noi/homey-bbq-suon-nuong-bbq,https://shopeefood.vn/ha-noi/homey-bbq-suon-nuong-bbq,"56 Hàng Than, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.9,6.3,https://media.foody.vn/res/g81/805195/prof/s/file_restaurant_photo_xeud_16563-1b10f3db-220627113057.jpeg,6.3,21.040687,"56 Hàng Than, P. Nguyễn Trung Trực",105.847499,6.4,6.3
2,Bánh Mì Hương Lan,https://www.foody.vn/ha-noi/banh-mi-huong-lan,https://shopeefood.vn/ha-noi/banh-mi-huong-lan,"6C Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.2,7.7,https://media.foody.vn/res/g64/635171/prof/s/foody-upload-api-foody-mobile-avar101-190416114422.jpg,6.9,21.0221053,"6C Láng Hạ, P. Thành Công",105.8187766,7.0,7.5
3,Marukame Udon - Udon & Tempura - Vincom Metropolis,https://www.foody.vn/ha-noi/marukame-udon-vincom-metropolis,https://shopeefood.vn/ha-noi/marukame-udon-vincom-metropolis,"Tầng 2 - 13 - 14 -15, Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.0,7.2,https://media.foody.vn/res/g88/873488/prof/s/foody-upload-api-foody-mobile-1-jpg-190102151656.jpg,7.9,21.0314901,"Tầng 2 - 13 - 14 -15, Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh",105.8142168,7.9,8.1
4,Gà Tươi - 671 Hoàng Hoa Thám,https://www.foody.vn/ha-noi/ga-tuoi-671-hoang-hoa-tham,https://shopeefood.vn/ha-noi/ga-tuoi-671-hoang-hoa-tham,"671 Hoàng Hoa Thám, P. Vĩnh Phúc, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g88/879041/prof/s/foody-upload-api-foody-mobile-ga-tuoi-mach-hoach-h-190110090812.jpg,5.0,21.047345,"671 Hoàng Hoa Thám, P. Vĩnh Phúc",105.807784,10.0,5.0
5,Korean Chicken - Gà Rán Truyền Thống Hàn Quốc - 6 Ngõ 14 Huỳnh Thúc Kháng,https://www.foody.vn/ha-noi/korean-chicken-ga-ran-truyen-thong-han-quoc-6-ngo-14-huynh-thuc-khang,https://shopeefood.vn/ha-noi/korean-chicken-ga-ran-truyen-thong-han-quoc-6-ngo-14-huynh-thuc-khang,"6 ngõ 14 Huỳnh Thúc Kháng, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g120/1191605/prof/s/foody-upload-api-foody-mobile-fo-09ee92cc-231110114833.jpeg,9.9,21.0190515,"6 Ngõ 14 Huỳnh Thúc Kháng, P. Thành Công",105.8116468,10.0,9.7
6,Starbucks Coffee - Vincom Metropolis,https://www.foody.vn/ha-noi/starbucks-coffee-vincom-metropolis,https://shopeefood.vn/ha-noi/starbucks-coffee-vincom-metropolis,"Tầng 1, Vincom Metropolis, Liễu Giai, P. Liễu Giai, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.0,6.4,https://media.foody.vn/res/g88/879224/prof/s/foody-upload-api-foody-mobile-sb-metro-190118162853.jpg,8.0,21.03116,"Tầng 1, Vincom Metropolis, Liễu Giai, P. Liễu Giai",105.813493,8.0,8.6
7,Lotteria - Hàng Than,https://www.foody.vn/ha-noi/lotteria-hang-than,https://shopeefood.vn/ha-noi/lotteria-hang-than,"Tầng 1, 23 Hàng Than, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.5,6.7,https://media.foody.vn/res/g1/6454/prof/s/image-0399f82c-210614103001.jpeg,6.6,21.041985,"Tầng 1, 23 Hàng Than",105.847273,6.0,6.8
8,Sushi Hokkaido Sachi - Vincom Metropolis Hà Nội,https://www.foody.vn/ha-noi/sushi-hokkaido-sachi-vincom-metropolis-ha-noi,https://www.foody.vn/ha-noi/sushi-hokkaido-sachi-vincom-metropolis-ha-noi,"Lầu 3 (L3-05) Vincom Center Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,9.5,8.5,https://media.foody.vn/res/g118/1178061/prof/s/foody-upload-api-foody-mobile-fo-37e75285-230722131057.jpeg,9.0,21.03143586,"Lầu 3 (L3-05) Vincom Center Metropolis, 29 Liễu Giai, P. Ngọc Khánh",105.8147574,9.5,10.0
9,Nhà Hàng Nhật Bản Shiba Sushi - Đào Tấn,https://www.foody.vn/ha-noi/nha-hang-nhat-ban-shiba-sushi-dao-tan,https://shopeefood.vn/ha-noi/nha-hang-nhat-ban-shiba-sushi-dao-tan,"12 Ngõ 9 Đào Tấn, P.Ngọc Khánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g117/1167923/prof/s/foody-upload-api-foody-mobile-ca-5468011f-230419113019.jpg,10.0,21.0325042,"12 Ngõ 9 Đào Tấn, P.Ngọc Khánh",105.8079361,10.0,9.9
